text,Ποικιλία,archaia_or_not
"Αναίρεσις των οχυρουμένων όπισθεν των αισχρών ηδονών. Εις δε τους φέροντας ως παράδειγμα τας αισχράς ηδονάς ημπορεί να απαντήση κανείς ότι αυταί δεν είναι ηδοναί. Διότι, εάν αυταί φαίνονται ηδοναί εις τους έχοντας κακήν διάθεσιν, δεν πρέπει γενικώς και άλλοι εκτός αυτών να τας νομίζουν ηδονικάς, καθώς δεν πρέπει να νομίσουν υγιεινά ή γλυκά ή πικρά όσα φαίνονται τοιαύτα εις τους ασθενείς, ούτε πάλιν λευκά όσα φαίνονται λευκά εις τους πάσχοντας εις την όρασιν. Επομένως πρέπει άραγε να λέγωμεν ούτω πως, ότι δηλαδή αι μεν ηδοναί είναι προτιμητέαι, όχι όμως από το δείνα πράγμα, καθώς είναι καλόν και να γίνη κανείς πλούσιος όχι από προδοσίας, ομοίως δε και να είναι υγιής, όχι όμως αφού φάγη οτιδήποτε; Ή πρέπει να δεχθώμεν ότι αι ηδοναί είναι διαφόρων ειδών; Διότι είναι διαφορετικαί αι γεννώμεναι από τα καλά και αι γεννώμεναι από τα αισχρά, και ότι δεν είναι δυνατόν να δοκιμάση κανείς την ηδονήν του δικαίου, αν δεν είναι δίκαιος, ούτε την ηδονήν του μουσικού, αν δεν είναι μουσικός, ομοίως δε και εις τα άλλα. Φαίνεται δε ότι κάμνει τούτο σαφές και ο φίλος, ο οποίος διαφέρει από τον κόλακα, ότι δηλ. δεν είναι αγαθόν η ηδονή, ή ότι υπάρχουν διαφόρων ειδών ηδοναί. Διότι εκείνος μεν συναναστρέφεται χάριν του αγαθού, αυτός όμως χάριν της ηδονής, και αυτός μεν ονειδίζεται, εκείνον όμως τον επαινούν, διότι συναναστρέφεται χωρίς συμφέρον. Έπειτα κανείς δεν θα προτιμήση να ζη έχων διάνοιαν ενός παιδίου, και προ πάντων να ευχαριστήται με όσα ευχαριστούνται τα παιδία, ούτε να χαίρη, όταν εκτελή κανέν από τα αίσχιστα, εάν πρόκειται να λυπηθή ποτέ εις το μέλλον. Έπειτα είναι δυνατόν να καταγινώμεθα εις πολλά πράγματα, και όταν δεν μας φέρουν προσθέτως καμμίαν ηδονήν, λόγου χάριν να βλέπωμεν, να απομνημονεύωμεν, να μανθάνωμεν, να έχωμεν τας αρετάς. Εάν όμως κατ ανάγκην συνοδεύωνται αυτά από ηδονάς, αυτό δεν έχει καμμίαν σημασίαν. Διότι ημείς θα τα επροτιμούσαμεν, και αν δεν προήρχετο από αυτά καμμία ηδονή. Ότι λοιπόν ούτε το αγαθόν είναι η ηδονή, ούτε πάσα ηδονή είναι προτιμητέα, φαίνεται ότι έγινε φανερόν, και ότι υπάρχουν μερικαί ηδοναί προτιμητέαι καθ εαυτάς, αι οποίαι είναι διάφοροι κατά το είδος ή κατά την προέλευσιν. Και λοιπόν ημπορούμεν να θεωρήσωμεν ότι είπαμεν αρκετά διά τας γνώμας των άλλων περί ηδονής. 2",3,1
"Διάκρισις της μεγαλοψυχίας από την σωφροσύνην και ακρότητες αυτής. Η δε μεγαλοψυχία φαίνεται και από το όνομά της ότι περιστρέφεται εις μεγάλα, ποία όμως είναι αυτά ας το εξετάσωμεν πρώτον. Δεν έχει δε καμμίαν διαφοράν αν εξετάζωμεν την διάθεσιν ή τον έχοντα την διάθεσιν. Φαίνεται δε ότι είναι μεγαλόψυχος όστις κρίνει τον εαυτόν του άξιον διά μεγάλα και συγχρόνως είναι άξιος. Διότι όστις κάμνει τα ίδιον χωρίς να είναι άξιος, είναι ηλίθιος. Ενώ από όσους είναι ενάρετοι κανείς δεν είναι ηλίθιος ή ανόητος. Μεγαλόψυχος λοιπόν είναι αυτός που είπαμεν. Διότι όστις είναι άξιος διά μικρά, και εις αυτά κρίνει τον εαυτόν του άξιον αυτός είναι σώφρων, όχι όμως μεγαλόψυχος. Διότι η μεγαλοψυχία συνίσταται εις το μεγαλείον, καθώς και το κάλλος υπάρχει εις το μεγαλόσχημον σώμα, ενώ οι μικρόσωμοι είναι μεν κομψοί και συμμετρικοί, όχι όμως ωραίοι. Όστις όμως κρίνει τον εαυτόν του άξιον διά μεγάλα, ενώ είναι ανάξιος, αυτός είναι χαύνος, ενώ όστις αξιόνει τον εαυτόν του διά μεγαλίτερα από όσον αξίζει, δεν είναι πάντοτε χαύνος. Όστις δε πάλιν αξιόνει τον εαυτόν του διά μικρότερα από ό,τι αξίζει είναι μικρόψυχος, δηλαδή είτε είναι άξιος διά μεγάλα είτε διά μέτρια είτε διά μικρά, αυτός αξιόνει τον εαυτόν του δι ολιγώτερα εις πάσαν περίπτωσιν από αυτάς. Διότι βεβαίως απορεί κανείς πόσον θα υπεβίβαζε τον εαυτόν του, αν δεν είχε ούτε αυτήν την αξίαν. Ο δε μεγαλόψυχος είναι ως προς μεν το απόλυτον μέγεθος άκρος, ως προς το πρέπον όμως μέσος, διότι αξιόνει τον εαυτόν του εις ό,τι αξίζει. Ενώ αυτοί οι άλλοι είναι υπερβολικοί ή ελλιπείς. Αφού λοιπόν αξιόνει τον εαυτόν του διά μεγάλα, και είναι άξιος και μάλιστα άξιος των μεγίστων, τότε πρέπει να περιστρέφεται εις έν κυρίως. Αλλά η αξία λέγεται εν σχέσει προς τα εξωτερικά αγαθά. Και ως μέγιστον αγαθόν πρέπει να θεωρήσωμεν αυτό το οποίον αποδίδομεν εις τους θεούς, και το οποίον κυρίως επιδιώκουν οι έχοντες αξιώματα, και είναι έπαθλον διά τα κάλλιστα. Τοιούτον λοιπόν είναι η τιμή, διότι αυτή είναι εντελώς το μέγιστον από τα εξωτερικά αγαθά. Εις την αποδοχήν δε ή την στέρησιν των τιμών ο μεγαλόψυχος είναι καθώς πρέπει. Και δεν απαιτείται ούτε δικαιολογία διατί η μεγαλοψυχία περιστρέφεται εις την τιμήν. Διότι γενικώς οι μεγάλοι κρίνουν άξιον τον εαυτόν των περισσότερον από όλα διά την τιμήν. Πάντοτε όμως όσον αξίζουν• Ο μικρόψυχος όμως είναι ελλιπής και εν σχέσει προς το άτομόν του και ως προς τας απαιτήσεις του μεγαλοψύχου. Ο δε χαύνος υπερακοντίζει με το άτομόν του όχι όμως και τον μεγαλόψυχον. 3",3,1
"Η σχέσις της προμελέτης προς την προαίρεσιν. Το αντικείμενον δε της προμελέτης και της προαιρέσεως είναι το ίδιον, με την διαφοράν ότι το αντικείμενον της προαιρέσεως είναι πλέον καθωρισμένον. Δηλαδή ό,τι επροτιμήθη εις το τέλος της προμελέτης, αυτό είναι το αντικείμενον της προαιρέσεως. Διότι έκαστος παύει πλέον να ερευνά πώς πρέπει να προβή εις την εκτέλεσιν, όταν αναβιβάση την αρχήν της πράξεως εις τον εαυτόν του και εις την κυριαρχούσαν εντός του δύναμιν. Διότι αυτή είναι η εκτελούσα την προαίρεσιν. Τούτο δε φαίνεται σαφώς από τα αρχαία πολιτεύματα, τα οποία παριστάνει ο Όμηρος. Δηλαδή οι βασιλείς συνεσκέπτοντο, και όσα απεφάσιζαν, τα ανήγγελλαν εις τον λαόν. Αφού λοιπόν το προαιρετικόν είναι κάτι τι, το οποίον επιθυμούμεν κατόπιν ωρίμου σκέψεως ως εξαρτώμενον από ημάς, τότε και η προαίρεσις φαίνεται ότι είναι προμελετημένη επιθυμία πραγμάτων εξαρτωμένων από ημάς. Διότι, αφού προμελετήσωμεν και σχηματίσωμεν γνώμην, τότε επιθυμούμεν συμφώνως με την προμελέτην. 3",3,1
"Οι νέοι δεν είναι αρμόδιοι διά την σπουδήν της πολιτικής. Βεβαίως όμως έκαστος κρίνει ορθώς όσα γνωρίζει και εις αυτά είναι καλός κριτής. Επομένως εις τα ιδιαίτερα είναι κριτής ο ειδικώς μορφωμένος, γενικός δε κριτής είναι όστις είναι μορφωμένος εις όλα. Διά τούτο ο νέος δεν είναι αρμόδιος σπουδαστής διά την πολιτικήν. Διότι είναι ανίδεος από τας πράξεις της ζωής, και όμως οι πολιτικοί λόγοι πηγάζουν από αυτάς και ομιλούν δι αυτάς. Εκτός δε τούτου, επειδή ακολουθεί τα πάθη του, εις μάτην και ανωφελώς θα ακροασθή, διότι ο σκοπός δεν είναι η γνώσις αλλά η πράξις. Και δεν έχει καμμίαν διαφοράν αν είναι νέος κατά την ηλικίαν ή κατά τον χαρακτήρα νεαρός. Διότι αιτία του ελαττώματος δεν είναι ο χρόνος, αλλά το ότι ζη και επιδιώκει παν πράγμα συμφώνως με το πάθος του. Δηλαδή εις τους τοιούτους είναι ανωφελής η γνώσις, καθώς εις τους ακολάστους. Ενώ εις εκείνους, όσοι κανονίζουν τας κλίσεις των συμφώνως με το λογικόν, ίσως είναι πολύ ωφέλιμον να γνωρίζουν περί αυτών. 2",3,1
"Ορισμός της ηδονής. Διά τούτο δεν είναι ορθός ο ορισμός ότι η ηδονή είναι αισθητή γένεσις, αλλά ορθότερον είναι να την ορίσωμεν ως ενέργειαν της φυσικής διαθέσεως, και αντί του αισθητή να προσθέσωμεν το ανεμπόδιστος. Φαίνεται δε εις μερικούς ότι είναι γένεσις, διότι την θεωρούν κυριολεκτικώς αγαθόν. Δηλαδή αυτοί την ενέργειαν την θεωρούν γένεσιν, ενώ είναι διαφορετική. Το ότι δε μερικά ηδονικά είναι ποταπά, είναι το ίδιον ως να λέγωμεν ότι και μερικά υγιεινά είναι ποταπά, διότι δεν κερδίζουν από αυτά οι ιατροί. Λοιπόν υπό τοιαύτην έποψιν είναι και τα δύο ποταπά, αλλά βεβαίως διά τούτο δεν θα ειπή ότι είναι ποταπά, αφού μάλιστα και η σκέψις κάποτε βλάπτει εις την υγείαν. Έπειτα δεν εμποδίζει ούτε την φρόνησιν ούτε την διάθεσιν η ηδονή η παραγομένη από την ιδίαν, αλλά αι ξέναι, καθόσον αι ηδοναί αι προερχόμεναι από την σκέψιν και την μάθησιν περισσότερον θα συντελέσουν να σκεφθή κανείς και να μάθη. Το ότι δε καμμία τέχνη της ηδονής δεν υπάρχει, έχει τον λόγον του. Διότι ούτε καμμιάς άλλης ενεργείας υπάρχει τέχνη, αλλά μόνον της δυνάμεως. Μολονότι πάλιν η μυρεψική τέχνη και η μαγειρική φαίνεται ως να είναι τέχνη ηδονής. Το ότι δε ο σώφρων αποφεύγει τας ηδονάς και ο φρόνιμος επιδιώκει άλυπον βίον, και ότι τα παιδία και τα ζώα επιδιώκουν τας ηδονάς, όλα έχουν την ιδίαν εξήγησιν. Διότι είπαμεν ότι υπάρχουν ηδοναί απολύτως αγαθαί και ότι όλαι δεν είναι αγαθαί. Τας δε ηδονάς του είδους τούτου επιδιώκουν και τα παιδία και τα ζώα, και πάλιν αυτών των ηδονών την ενόχλησιν αποφεύγει ο φρόνιμος, δηλαδή τας ηδονάς τας συνοδευομένας με επιθυμίαν και λύπην και τας σωματικάς διότι τοιαύται είναι και αυταί και τας υπερβολάς αυτών, συμφώνως με τας οποίας ο ακόλαστος είναι ακόλαστος. Διά τούτο ο σώφρων αποφεύγει αυτάς. Άλλως όμως υπάρχουν ηδοναί και του σώφρονος. 3",2,1
"Περί οσμής και χυμού. Οι χυμοί κάλλιον γινώσκονται παρά τας οσμάς. Δεν προέρχονται πάντες εκ του ύδατος μόνον. Γνώμαι φιλοσόφων. Αίτια χυμών τρία : γη, ξηρόν και υγρόν. O χυμός είναι πάθος τον θρεπτικού ξηρού. Δύο οι αρχικοί χυμοί, γλυκύ και πικρόν. Αναφορά των επτά χυμών προς τα επτά χρώματα. Γνώμαι Δημοκρίτου. 3",3,1
του φαινομένου τούτου. Εις το κείμενον το λογοπαίγνιον γίνεται με την ομοίαν κατάληξιν των λέξεων «effect και defect»· εις την μετάφρασιν διπλήν σημασίαν της λέξεως λόγος =αιτία και = έννοια. 3,3,1
"Ακούεται από μέσα το ψεύτικο βήξιμο της Ευνίκης. Η Σκλάβες αρπάνε αμέσως τα μαλλιά τους, ξεφωνίζουνε και τρέχουνε κατά την πόρτα του Καίσαρος. 2",2,1
"Ενώ ο θεράπων κατασκάπτει την στέγην, έτερος θεράπων φέρει δάδα ανημμένην. Ο Στρεψιάδης ανέρχεται ταυτοχρόνως και πυρπολεί την οικίαν. Εξέρχονται έντρομοι οι Α και Β Μαθηταί. 2",3,1
"Θόρυβος. Ο Μούρομσκης, η Λύδοτσκα, η Ατούγεφ, ο Ρασπλιούγεφ περιστοιχίζουσι τον Κρετσίνσκην. Ο Νέλκην ίσταται μόνος. Ομιλούσι σχεδόν μαζύ. 2",3,1
