"Είδος.Τεκμηρίου"	"Θεματική"	"Διάλεκτος"	"Κοινωνιόλεκτος"	"Jargon"	"Ύφος"	"Ποικιλία"	"Ιστορική.Περίοδος"
"fragmentum"	"ημερολόγιο"	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"χωρίο"	"πεζογραφία"	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"δημοτική"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"δημοτική"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"χωρίο"	"ιστορία"	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"καθαρεύουσα"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"χωρίο"	"ιστορία"	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"χωρίο"	"ιστορία"	"οχι"	"οχι"	"οχι"	"επίσημο"	"κνε"	"νε"
"χωρίο"	"γραμματική"	NA	NA	NA	NA	NA	NA
"χωρίο"	"τραγωδία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"κνε"	"νε"
"χωρίο"	"φιλοσοφία"	"οχι"	"οχι"	"οχι"	"επίσημο"	"καθαρεύουσα"	"νε"
"fragmentum"	"ποίηση"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"κνε"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"κνε"	"νε"
NA	NA	NA	NA	NA	NA	NA	NA
