text,predicted class
"Και πριν αυτος παυση λαλων , ιδου , εξηρχετο η Ρεβεκκα , ητις εγεννηθη εις τον Βαθουηλ , υιον της Μελχας , γυναικος του Ναχωρ , αδελφου του Αβρααμ , εχουσα την υδριαν αυτης επι του ωμου αυτης .",2
"Και την τριτην ημεραν , ημεραν των γενεθλιων του Φαραω , εκαμε συμποσιον εις παντας τους δουλους αυτου και υψωσε την κεφαλην του αρχιοινοχοου και την κεφαλην του αρχισιτοποιου μεταξυ των δουλων αυτου .",2
"Τοτε ειπεν ο Ιωσηφ προς τον λαον , Ιδου , ηγορασα εσας και την γην σας σημερον εις τον Φαραω ιδου , λαβετε σπορον και σπειρατε την γην",2
"τα δε τεκνα σου οσα γεννησης μετα τουτους , θελουσιν εισθαι ιδικα σου κατα το ονομα των αδελφων αυτων θελουσιν ονομασθη εν τη κληρονομια αυτων .",3
"Οι οφθαλμοι σας ειδον τι εκαμεν ο Κυριος εξ αιτιας του Βεελ-φεγωρ διοτι παντας τους ανθρωπους , οιτινες ηκολουθησαν τον Βεελ-φεγωρ , Κυριος ο Θεος σας εξωλοθρευσεν αυτους εκ μεσου υμων .",3
Κυριος ο Θεος ημων εκαμε διαθηκην προς ημας εν Χωρηβ .,3
Και εκραξεν ο Ιωναθαν τον Δαβιδ και απηγγειλε προς αυτον ο Ιωναθαν παντας τους λογους τουτους .,3
"Ηλθον δε οι Ζιφαιοι προς τον Σαουλ εις Γαβαα , λεγοντες , Δεν κρυπτεται ο Δαβιδ εν τω βουνω Εχελα απεναντι Γεσιμων ;",3
"Τοτε πιασας ο Δαβιδ τα ιματια αυτου , διεσχισεν αυτα και παντες ομοιως οι ανδρες οι μετ  αυτου .",2
"Και εβοησεν ο Αχιμαας και ειπε προς τον βασιλεα , Χαιρε. και προσεκυνησε τον βασιλεα κατα προσωπον αυτου εως εδαφους και ειπεν , Ευλογητος Κυριος ο Θεος σου , οστις παρεδωκε τους ανθρωπους , τους σηκωσαντας την χειρα αυτων κατα του κυριου μου του βασιλεως .",2
"Και ηλθε Σαφαν ο γραμματευς προς τον βασιλεα και ανεφερε λογον προς τον βασιλεα και ειπεν , Οι δουλοι σου εσυναξαν το αργυριον το ευρεθεν εν τω οικω , και παρεδωκαν αυτο εις την χειρα των ποιουντων τα εργα , των επιστατουντων εις τον οικον του Κυριου .",3
Και εφανη κακον εις τους οφθαλμους του Θεου το πραγμα τουτο οθεν επαταξε τον Ισραηλ .,3
"Τοτε εσηκωθησαν οι αρχηγοι των πατριων του Ιουδα και του Βενιαμιν και οι ιερεις και οι Λευιται , μετα παντων οσων το πνευμα διηγειρεν ο Θεος εις το να αναβωσι δια να οικοδομησωσι τον οικον του Κυριου , τον εν Ιερουσαλημ",2
"εν εκειναις ταις ημεραις , οτε ο βασιλευς Ασσουηρης εκαθησεν επι τον θρονον της βασιλειας αυτου , εν Σουσοις τη βασιλευουση ,",2
"Η Εσθηρ δεν εφανερωσε την συγγενειαν αυτης ουτε τον λαον αυτης , καθως προσεταξεν εις αυτην ο Μαροδοχαιος διοτι η Εσθηρ εκαμνε την προσταγην του Μαροδοχαιου , καθως οτε ανετρεφετο πλησιον αυτου .",2
Δεν με ημελξας ως γαλα και με επηξας ως τυρον ;,2
"Ο Θεος βροντα θαυμασιως με την φωνην αυτου καμνει μεγαλεια , και δεν εννοουμεν .",2
"Καθηται εν ενεδρα των προαυλιων , εν αποκρυφοις , δια να φονευση τον αθωον οι οφθαλμοι αυτου παραμονευουσι τον πενητα .",3
"Και θελει βοηθησει αυτους ο Κυριος , και ελευθερωσει αυτους θελει ελευθερωσει αυτους απο ασεβων και σωσει αυτους διοτι ηλπισαν επ  αυτον .",3
"Ανακαλω εις μνημην την ωδην μου την νυκτα διαλογιζομαι μετα της καρδιας μου , και το πνευμα μου διερευνα",3
