Kathgoria,Ypokathgoria,title,link
,Καθημερινὲς ἀκολουθίες γιὰ τοὺς Ἱερεῖς,Δευτέρα,https://glt.goarch.org/daily/Mon.html
,Καθημερινὲς ἀκολουθίες γιὰ τοὺς Ἱερεῖς,Τρίτη,https://glt.goarch.org/daily/Tue.html
,Καθημερινὲς ἀκολουθίες γιὰ τοὺς Ἱερεῖς,Τετάρτη,https://glt.goarch.org/daily/Wed.html
,Καθημερινὲς ἀκολουθίες γιὰ τοὺς Ἱερεῖς,Πέμπτη,https://glt.goarch.org/daily/Thu.html
,Καθημερινὲς ἀκολουθίες γιὰ τοὺς Ἱερεῖς,Παρασκευή,https://glt.goarch.org/daily/Fri.html
,Καθημερινὲς ἀκολουθίες γιὰ τοὺς Ἱερεῖς,Σάββατον,https://glt.goarch.org/daily/Sat.html
,Καθημερινὲς ἀκολουθίες γιὰ τοὺς Ἱερεῖς,Κυριακή,https://glt.goarch.org/daily/Sun.html
,Καθημερινὲς ἀκολουθίες LITE,Δευτέρα,https://glt.goarch.org/Lite/Mon.html
,Καθημερινὲς ἀκολουθίες LITE,Τρίτη,https://glt.goarch.org/Lite/Tue.html
,Καθημερινὲς ἀκολουθίες LITE,Τετάρτη,https://glt.goarch.org/Lite/Wed.html
,Καθημερινὲς ἀκολουθίες LITE,Πέμπτη,https://glt.goarch.org/Lite/Thu.html
,Καθημερινὲς ἀκολουθίες LITE,Παρασκευή,https://glt.goarch.org/Lite/Fri.html
,Καθημερινὲς ἀκολουθίες LITE,Σάββατον,https://glt.goarch.org/Lite/Sat.html
,Καθημερινὲς ἀκολουθίες LITE,Κυριακή,https://glt.goarch.org/Lite/Sun.html
,"Καθημερινὲς ἀκολουθίες γιὰ τοὺς Μοναχούς - old, minus 13 days",Δευτέρα,https://glt.goarch.org/AthosJ/Mon.html
,"Καθημερινὲς ἀκολουθίες γιὰ τοὺς Μοναχούς - old, minus 13 days",Τρίτη,https://glt.goarch.org/AthosJ/Tue.html
,"Καθημερινὲς ἀκολουθίες γιὰ τοὺς Μοναχούς - old, minus 13 days",Τετάρτη,https://glt.goarch.org/AthosJ/Wed.html
,"Καθημερινὲς ἀκολουθίες γιὰ τοὺς Μοναχούς - old, minus 13 days",Πέμπτη,https://glt.goarch.org/AthosJ/Thu.html
,"Καθημερινὲς ἀκολουθίες γιὰ τοὺς Μοναχούς - old, minus 13 days",Παρασκευή,https://glt.goarch.org/AthosJ/Fri.html
