paragraphs,type,source_file
## ΒΙΟΛΟΓΙΚΗ ΕΚΤΡΟΦΗ ΑΓΡΟΤΙΚΩΝ ΖΩΩΝ,,paper_299.md
Έργο:,,paper_299.md
## ΣΤΟΙΧΕΙΑ ΑΡΧΙΚΗΣ ΕΚ∆ΟΣΗΣ,,paper_299.md
"ΣΥΓΓΡΑΦΕΙΣΓεώργιος Ζέρβας , Καθηγητής, Γεωπονικό Πανεπιστήμιο Αθηνών Παύλος Δημητρίου , Γεωπόνος, Υπ. Αγροτικής Ανάπτυξης και Τροφίμων Αικατερίνη Σκοτίδα , Γεωπόνος Καθ. Β/θμιας ΕκπαίδευσηςΚΡΙΤΕΣ - ΑΞΙΟΛΟΓΗΤΕΣ Στέλιος Ασημιάδης , Γεωπόνος, Εκπαιδευτικός Μαρία Μπίστη , Γεωπόνος, Στέλεχος ΠΑΣΕΓΕΣΚωνσταντίνος Κόνδης , Γεωπόνος, Εκπ/κος Β/θμιας Εκπ/σης, υπεύθυνος του Παιδαγωγικού ΙνστιτούτουΓεώργιος Σταυρουλάκης , Αναπληρωτής Καθηγητής, Τ.Ε.Ι. ΚρήτηςΓΛΩΣΣΙΚΟΣ ΕΛΕΓΧΟΣ ΑΠΟ ΤΗΝ ΠΛΕΥΡΑ ΤΟΥ ΠΑΙΔΑΓΩΓΙΚΟΥ ΙΝΣΤΙΤΟΥΤΟΥΜαρία Νικηφοράκη , Φιλόλογος, Αποσπασμένη στο Παιδαγωγικό Ινστιτούτο",,paper_299.md
ΑΤ ΕΛΙΕ:,,paper_299.md
ΗΛΕΚΤΡΟΝΙΚΕΣ ΤΕΧΝΕΣ ΕΠΕ,,paper_299.md
## Ενέργεια 2.3.2. «Ανάπτυξη των Τ.Ε.Ε. και Σ.Ε.Κ.»,,paper_299.md
"ΠΑΙΔΑΓΩΓΙΚΟ ΙΝΣΤΙΤΟΥΤΟΜιχάλης Αγ. Παπαδόπουλος Ομότιμος Καθηγητής του Α.Π.Θ.Πρόεδρος του Παιδαγωγικού Ινστιτούτου«Εκπόνηση βιβλίων, ντοσιέ και τετραδίων εργασίας και προγραμμάτων σπουδών της Τεχνικής Επαγγελματικής Εκπαίδευσης Τ.Ε.Ε.»- - Επιστημονικός Υπεύθυνος του Έργου Σωτήριος Γκλαβάς - - Αντιπρόεδρος του Παιδαγωγικού ΙνστιτούτουΥπεύθυνος του Τομέα Γεωπονίας, Τροφίμων και Περιβάλλοντος:",,paper_299.md
Γεώργιος ΒούτσινοςΣύμβουλος του Παιδαγωγικού Ινστιτούτου,,paper_299.md
"## Συντονιστική Επιτροπή του Έργου:- -Βούτσινος Γεώργιος , Σύμβουλος Παιδαγωγικού Ινστιτούτου, Επιστημονικός Υπεύθυνος του έργου έως 21/4/2004 - -Γκιζελή Βίκα , Σύμβουλος Παιδαγωγικού Ινστιτούτου - -Γκλαβάς Σωτήριος , Αντιπρόεδρος του Παιδαγωγικού Ινστιτούτου - -Καφετζόπουλος Κωνσταντίνος , Πάρεδρος με θητεία Παιδαγωγικού Ινστιτούτου - -Στάππα Ματίνα , Πάρεδρος με θητεία Παιδαγωγικού Ινστιτούτου - -Καβαλάρη Παναγιώτα , Εκπ/κος Α/θμιας Εκπ/σης, αποσπ. στο Παιδαγωγικό Ινστιτούτο - -Μεργκούνη Καλλιόπη , Εκπ/κος Β/θμιας Εκπ/σης, αποσπ. στο Παιδαγωγικό Ινστιτούτο",,paper_299.md
## ΣΤΟΙΧΕΙΑ ΕΠΑΝΕΚ∆ΟΣΗΣΗ επανέκδοση του παρόντος βιβλίου πραγματοποιήθηκε από το Ινστιτούτο Τεχνολογίας Υπολογιστών & Εκδόσεων «Διόφαντος» μέσω ψηφιακής μακέτας.,,paper_299.md
"## ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ ΙΝΣΤΙΤΟΥΤΟ ΕΚΠΑΙΔΕΥΤΙΚΗΣ ΠΟΛΙΤΙΚΗΣΓΕΩΡΓΙΟΣ ΖΕΡΒΑΣ ΠΑΥΛΟΣ ΔΗΜΗΤΡΙΟΥ ΑΙΚΑΤΕΡΙΝΗ ΣΚΟΤΙΔΑ",,paper_299.md
## ΒΙΟΛΟΓΙΚΗ ΕΚΤΡΟΦΗ ΑΓΡΟΤΙΚΩΝ ΖΩΩΝ,,paper_299.md
"Γ' ΕΠΑ.Λ.ΤΟΜΕΑΣ ΓΕΩΠΟΝΙΑΣ, ΤΡΟΦΙΜΩΝ ΚΑΙ ΠΕΡΙΒΑΛΛΟΝΤΟΣΕΙΔΙΚΟΤΗΤΑ ΤΕΧΝΙΚΩΝ ΦΥΤΙΚΗΣ ΠΑΡΑΓΩΓΗΣ ΕΙΔΙΚΟΤΗΤΑ ΤΕΧΝΙΚΩΝ ΖΩΙΚΗΣ ΠΑΡΑΓΩΓΗΣ ΕΙΔΙΚΟΤΗΤΑ ΤΕΧΝΙΚΩΝ ΑΝΘΟΚΟΜΙΑΣ ΚΑΙ ΑΡΧΙΤΕΚΤΟΝΙΚΗΣ ΤΟΠΙΟΥ ΕΙΔΙΚΟΤΗΤΑ ΤΕΧΝΙΚΩΝ ΤΕΧΝΟΛΟΓΙΑΣ ΤΡΟΦΙΜΩΝ ΚΑΙ ΠΟΤΩΝΙΝΣΤΙΤΟΥΤΟ ΤΕΧΝΟΛΟΓΙΑΣ ΥΠΟΛΟΓΙΣΤΩΝ ΚΑΙ ΕΚΔΟΣΕΩΝ «ΔΙΟΦΑΝΤΟΣ»Η συγγραφική ομάδα θα ήθελε να εκφράσει τις θερμές ευχαριστίες της στην κ. Μαρία Γεωργιάδου για τη βοήθεια στη δακτυλογράφηση του κειμένου, στους κριτές κκ. Γ. Σταυρουλάκη, Μ. Μπίστη, Σ. Ασημιάδη και Κ. Κόνδη για τα πολύτιμα σχόλιά τους και τις εύστοχες παρατηρήσεις τους και επιπλέον τον κ. Κόνδη για την παραχώρηση μέρους του προσωπικού του φωτογραφικού αρχειακού υλικού. Επίσης θα θέλαμε να εκφράσουμε τις ευχαριστίες μας στην κ. Ανδρομάχη Δημητρίου, φιλόλογο, για τη γλωσσική επιμέλεια του κειμένου καθώς και την κ. Ουρανία Γκόλτσιου.",,paper_299.md
