paragraphs,type,source_file
"## 1.1. ΣΗΜΕΙΟΓΡΑΦΙΑ: ΧΡΩΜΑΤΙΚΟ ΓΕΝΟΣ, ΔΙΑΣΤΗΜΑΤΑ - ΜΑΡΤΥΡΙΕΣ - ΦΘΟΡΕΣ ΠΛ. Β' ΗΧΟΥ, ΜΕΛΗ Β' ΗΧΟΥ (ΣΥΝΤΟΜΑ ΕΙΡΜΟΛΟΓΙΚΑ)",,paper_788.md
"## 3.3 Ιαματικό νερόΗ φυσικοθεραπεία μπορεί να χρησιμοποιήσει και θερμομεταλλικά νερά για θεραπευτικούς σκοπούς.Το ιαματικό νερό χρησιμοποιείται σε όλες τις μορφές του, δηλ. σαν στερεό, υγρό και αέριο.Αναλόγως του τρόπου και της μορφής που χρησιμοποιείται το νερό, ονομάζεται και η αντίστοιχη θεραπευτική μέθοδος υδροθεραπείας.Οι διάφορες μορφές της υδροθεραπείας με «ιαματικό νερό» που συναντώνται κυρίως στις εφαρμογές του νερού στη φυσικοθεραπεία είναι:Λουτροθεραπεία είναι η εμβύθιση μέρους του σώματος ή και ολόκληρου του σώματος σε κάποιο υλικό (νερό, λάσπη) για θεραπευτικούς σκοπούς και εφαρμόζεται σε παθήσεις του μυοσκελετικού συστήματος. Η μέθοδος εφαρμόζεται με λούσεις, καταιονήσεις, περιτυλίξεις, επιθέματα, λασπόλουτρα, υδρομάλαξη, δινόλουτρα.Ποσιθεραπεία είναι η εισαγωγή υγρών μέσα στο πεπτικό σύστημα του ανθρώπου για θεραπευτικούς σκοπούς.Εισπνοθεραπεία ή εισπνευσιοθεραπεία ονομάζουμε την επαφή ατμού και σταγονιδίων, που προέρχονται από μεταλλικό νερό, με το βλεννογόνο του αναπνευστικού συστήματος.",,paper_700.md
"## Συντελεστές παραγωγής και οικονομικά αποτελέσματα των γεωργικών επιχειρήσεωνΗ ποσότητα του προϊόντος που παράγεται εξαρτάται από τις ποσότητες των χρησιμοποιούμενων συντελεστών παραγωγής, δηλαδή το παραγόμενο προϊόν είναι συνάρτηση αυτών των συντελεστών. Η σχέση αυτή αναφέρεται σε φυσικές ποσότη -τες προϊόντος (κιλά παραγόμενου σιταριού) και συντελεστών παραγωγής (στρέμ -ματα εδάφους, ώρες ανθρώπινης εργασίας, ποσότητες λιπασμάτων κτλ.) και όχι σε χρηματικά μεγέθη.Για να είναι ευκολότερα κατανοητές οι θεμελιώδεις αρχές της παραγωγής, θεω -ρούμε ότι υπάρχει μόνο ένας συντελεστής παραγωγής που μπορεί να μεταβληθεί -ως προς την ποσότητα- (μεταβλητός συντελεστής παραγωγής), για να παραχθεί το προϊόν, και ότι οι υπόλοιποι συντελεστές παραγωγής διατηρούνται σε σταθερή ποσότητα (σταθεροί συντελεστές παραγωγής).Ως σταθεροί συντελεστές παραγωγής ορίζονται εκείνοι οι συντελεστές των οποίων η χρησιμοποιούμενη ποσότητα δεν μπορεί να μεταβληθεί εύκολα σε σύντομο χρονικό διάστημα. Συνεπώς, συντελεστές παραγωγής, όπως τα κτίσματα, τα μηχανήματα, η έκταση της χρησιμοποιούμενης γης, τα παραγωγικά ζώα κτλ., παραμένουν σταθεροί και δε μεταβάλλονται σε κάθε επανάληψη της παραγωγικής διαδικασίας, ανεξάρτητα από το επιδιωκόμενο ύψος παραγωγής. Οι συντελεστές αυτοί προσδιορίζουν την παραγωγική δυναμικότητα (το μέγεθος) των γεωργικών επιχειρήσεων. Ενδεχόμενη μεταβολή των χρησιμοποιούμενων σταθερών συντε -λεστών παραγωγής συνεπάγεται, συνήθως, μεγάλης έκτασης αναδιάρθρωση του παραγωγικού συστήματος, δηλαδή αποτελεί μια διαδικασία μεγάλης χρονικής διάρκειας (μεγαλύτερη του ενός έτους) που απαιτεί μακροχρόνιο σχεδιασμό και σημαντικού μεγέθους χρηματικά κεφάλαια, για την πραγματοποίηση των απαραί -τητων επενδύσεων.",,paper_326.md
μονοπρωτικό οξύ,,paper_265.md
## 16. ΜΟΥΣΕΙΑ,,paper_108.md
## Η απόκτηση ικανότητας:- α. Στη χρήση ηλεκτρονικών καταλόγων φωτιστικών σωμάτων - β. Στην κατανόηση των εργαλείων αναζήτησης φωτιστικών σωμάτων - γ. Στην κατανόηση των τεχνικών χαρακτηριστικών των φωτιστικών σωμάτων,,paper_522.md
Ν.Ε.:,,paper_38.md
## ΑΚΡΟΚΙΒΩΤΙΑ ΕΝΩΣΕΩΣ (ΜΟΥΦΕΣ ΕΥΘΕΙΕΣ),,paper_522.md
"## ζ. Παχύ έντεροΤο παχύ έντερο είναι το τελευταίο τμήμα του πεπτικού σωλήνα και έχει μήκος περίπου 1,5 μέτρο. Αρχίζει από την ειλεοκολική βαλβίδα και καταλήγει στον πρωκτό. (Εικ. 5.10)Τα κυριότερα τμήματα του παχέος εντέρου είναι:- α) το τυφλό με τη σκωληκοειδή απόφυση - β) το κόλο με τέσσερα μέρη : το ανιόν, το εγκάρσιο, το κατιόν και το σιγμοειδές.",,paper_679.md
"·- · Συνδέουμε το όργανο μέτρησης της πί -εσης στο σημείο μέτρησης της πίεσης, που υποδεικνύει ο κατασκευαστής. - · Αποσυνδέουμε το σωληνάκι υποπίε -σης από το ρυθμιστή πίεσης και σημει ώνουμε την πίεση της τροφοδοσίας του καυσίμου. - Θέτουμε σε λειτουργία τον κινητήρα και σημειώνουμε την ένδειξη της πίε -σης όταν το σωληνάκι υποπίεσης είναι συνδεμένο στην ανάλογη υποδοχή του ρυθμιστή πίεσης του καυσίμου. · - · Συγκρίνουμε τις τιμές των μετρήσεων με τις πρότυπες τιμές του κατασκευα -στή.",,paper_566.md
