titles;urls
Ανοικτή βιβλιοθήκη;https://www.openbook.gr/
Αποθετήριο Εκπαιδευτικού περιεχομένου για την Ακρόπολη;http://repository.acropolis-education.gr/acr_edu/?locale=el
Ανέμη - Ψηφιακή Βιβλιοθήκη Νεοελληνικών Σπουδών;http://anemi.lib.uoc.gr/?lang=el
Ανοικτή Βιβλιοθήκη - Αποθετήριο ελεύθερων ψηφιακών βιβλίων;http://www.openbook.gr/
ΑΠΟΛΛΩΝΙΣ: Εθνική Υποδομή για τις Ψηφιακές Ανθρωπιστικές Επιστήμες και Τέχνες και για τη Γλωσσική Έρευνα και Καινοτομία;https://apollonis-infrastructure.gr/
Ψηφιακό Αρχείο Ι. Καποδίστρια;http://kapodistrias.digitalarchive.gr/aik.php
Αρχείον Οικονομικών και Κοινωνικών Επιστημών;http://pandemos.panteion.gr/index.php?lang=el&op=record&type=&q=&page=0&pid=cid:197
Α.Σ.Κ.Ι - Αρχεία Σύγχρονης Κοινωνικής Ιστορίας;http://askiweb.eu/index.php/el/2015-09-21-08-31-06
Α.Σ.Κ.Τ. - Βιβλιοθήκη;http://www.library.asfa.gr/askt1/
Ψηφιακό αρχείο Βιβλιοθήκης Βουλής των Ελλήνων;https://library.parliament.gr/Portals/6/pdf/digitalmicrofilms.pdf
Ψηφιακό Αρχείο Βιβλιοθήκης Σερρών;http://ebooks.serrelib.gr/serrelib/
Αρχείο Εφημερίδων και Περιοδικών ιστορικού αρχείου Εφημερίδων και Περιοδικών της Βικελαίας Δημοτικής Βιβλιοθήκης;http://vikelaia-epapers.heraklion.gr/%ce%b5%cf%86%ce%b7%ce%bc%ce%b5%cf%81%ce%af%ce%b4%ce%b5%cf%82
Μελέτες και μονογραφίες που εκδόθηκαν από την εν Αθήναις Αρχαιολογικής Εταιρείας;https://www.archetai.gr/index.php?p=content&section=1&id=19&lang=
Η ψηφιακή πολιτιστική συλλογή των Γενικών Αρχείων του Κράτους;http://arxeiomnimon.gak.gr/index.html
